IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.89.252.171,443,443,true,FRA,Europe,Frankfurt,251,5.86
34.65.57.220,443,443,true,FRA,Europe,Frankfurt,253,5.86
34.65.238.141,443,443,true,FRA,Europe,Frankfurt,261,5.85
34.65.178.59,443,443,true,FRA,Europe,Frankfurt,202,5.85
34.89.237.7,443,443,true,FRA,Europe,Frankfurt,251,5.84
34.154.208.64,443,443,true,FRA,Europe,Frankfurt,260,5.83
34.107.118.135,443,443,true,FRA,Europe,Frankfurt,318,5.82
34.91.180.136,443,443,true,FRA,Europe,Frankfurt,196,5.82
34.154.255.192,443,443,true,FRA,Europe,Frankfurt,265,5.82
34.32.235.34,443,443,true,FRA,Europe,Frankfurt,200,5.81
34.154.4.46,443,443,true,FRA,Europe,Frankfurt,269,5.81
34.107.31.245,443,443,true,FRA,Europe,Frankfurt,316,5.80
34.89.152.161,443,443,true,FRA,Europe,Frankfurt,251,5.80
34.154.192.70,443,443,true,FRA,Europe,Frankfurt,203,5.79
34.154.77.58,443,443,true,FRA,Europe,Frankfurt,197,5.78
34.65.63.32,443,443,true,FRA,Europe,Frankfurt,263,5.78
34.118.46.206,443,443,true,FRA,Europe,Frankfurt,250,5.77
34.116.141.181,443,443,true,FRA,Europe,Frankfurt,281,5.77
34.89.237.7,443,443,true,FRA,Europe,Frankfurt,251,5.77
34.90.238.116,443,443,true,FRA,Europe,Frankfurt,195,5.76
34.65.239.76,443,443,true,FRA,Europe,Frankfurt,253,5.73
34.118.20.118,443,443,true,FRA,Europe,Frankfurt,358,5.72
34.91.162.60,443,443,true,FRA,Europe,Frankfurt,269,5.72
34.118.13.78,443,443,true,FRA,Europe,Frankfurt,328,5.72
34.65.199.105,443,443,true,FRA,Europe,Frankfurt,198,5.72
34.118.50.141,443,443,true,FRA,Europe,Frankfurt,331,5.71
34.116.233.92,443,443,true,FRA,Europe,Frankfurt,308,5.69
34.118.38.185,443,443,true,FRA,Europe,Frankfurt,269,5.69
34.89.158.25,443,443,true,FRA,Europe,Frankfurt,251,5.67
34.90.252.67,443,443,true,FRA,Europe,Frankfurt,201,5.67
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,197,5.66
34.118.25.92,443,443,true,FRA,Europe,Frankfurt,274,5.64
34.118.50.141,443,443,true,FRA,Europe,Frankfurt,212,5.63
34.90.221.204,443,443,true,FRA,Europe,Frankfurt,284,5.63
34.116.167.6,443,443,true,FRA,Europe,Frankfurt,260,5.63
